time,TATM,E,NC,nonUV,ES,YGROSS,S,invNCfrac,MIU,CPC,YNET,K,scc,gama3,ratioKNC,g4,theta1,share1,climsen,prtp,share2,theta2,YGreen,elasmu,damageNC
2155,4.186274398935124,124.34804359201249,0.0001596374710044263,0.012634772297292353,10.864895919905345,1068.186455292866,0.39214754335802626,0.0,0.07883459578347474,60.72759715683999,1042.2093654623543,5288.0664616010745,629.6213428888786,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1042.2028845753541,1.45,0.07873685176091616
2160,4.342607882531379,86.04367973215483,6.424460104408555e-5,0.008015272986248538,8.745855587986057,1088.001782077501,0.6799998531628012,0.0,0.34654429214959015,32.46081483478067,1059.5297223995217,5166.0368692451875,244.55543323973683,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1059.1403576948098,1.45,0.07873685176091616
2165,4.495343604344801,94.2313568256948,2.479411203361968e-5,0.004979368638052387,6.965302972236489,1198.5298747877976,0.6086527404565674,0.0,0.32178936652131895,43.617828448412155,1164.9203249586747,6651.569549476929,356.38373761789353,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1164.5948121753918,1.45,0.07873685176091616
2170,4.64719390380029,0.7563526190091494,9.181530564125314e-6,0.003030104051699432,5.466779132786157,1267.2586555170276,0.13284409460689023,0.0,0.9946348922860299,101.32241735649235,1229.2804098377408,7471.8544230309,1149.2309422048052,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1221.7042122252192,1.45,0.07873685176091616
2175,4.758548657444245,8.262156494461793,3.2992667176229946e-6,0.0018163883719136155,4.214244925460649,1166.3578552837917,0.17210908765303592,0.0,0.9334522614263167,88.96795362435923,1129.7082844502738,5223.536268007933,901.7649632139006,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1124.2542301550575,1.45,0.07873685176091616
2180,4.840052804200412,112.47687418246217,1.1598765189432799e-6,0.001076975635259814,3.2209098203769675,1104.8664187982424,0.9682797299472888,0.0,0.0021076047670921727,3.23949157313518,1068.9495871295055,4051.917780106271,7.461765611193488,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1068.9495869415118,1.45,0.07873685176091616
2185,4.942136160545914,62.123469728387676,3.9679336850423483e-7,0.0006299153661439247,2.466583873052271,1348.1712013841263,0.5809990297658738,0.0,0.5288513562886115,52.07256780083446,1302.4768513056335,7567.828016829917,372.18232522427024,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1301.3548599885808,1.45,0.07873685176091616
2190,5.03839626151613,62.498558935192385,1.32318734144613e-7,0.00036375642144794226,1.8617822237741268,1405.92870209103,0.9082123725073896,0.0,0.5259961496783343,11.875887838724648,1356.4023905586578,8249.156320830247,42.4486969627936,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1355.3249274214247,1.45,0.07873685176091616
2195,5.12972864931495,102.10098600593238,4.307403782782672e-8,0.00020754285780972257,1.396698972701149,1553.528769277621,0.6157698385055207,0.0,0.269326091490031,54.879002436262915,1496.8009444596792,11025.65865514614,368.44877640723456,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1496.6300785478852,1.45,0.07873685176091616
2200,5.23227170084712,127.56132221871465,1.3650236112988017e-8,0.00011683422492141596,1.0365562211721508,1580.4481411412169,0.30134249714717865,0.0,0.06459891975000379,101.3453864984102,1520.4070091446677,11118.439488126925,862.165565833459,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1520.4040242667036,1.45,0.07873685176091616
2205,5.35183099231295,121.5923845171372,4.193378230441601e-9,6.475629877040226e-5,0.760802394169874,1500.069107658829,0.5483283239057839,0.0,0.020938731200464245,62.05793725676348,1440.4474435359716,8856.13906006981,410.3144110684987,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1440.44733046867,1.45,0.07873685176091616
2210,5.480735924027546,32.68238423857465,1.2461250872310538e-9,3.530049698277708e-5,0.5545038948344827,1534.8073606824357,0.08144370880108864,0.0,0.7319975901965001,128.64256128028578,1470.8309790718963,9178.651905532857,1145.4570665933802,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1468.5591043692284,1.45,0.07873685176091616
2215,5.5844594812003825,34.64337130910926,3.6062054124451915e-10,1.899001161780896e-5,0.39804862802519964,1373.8773982070466,0.7753475396351581,0.0,0.6693805408670003,28.123264954117477,1314.4210387973567,6017.926663965272,122.2266858589111,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1312.9393262022238,1.45,0.07873685176091616
2220,5.66847477545687,94.09466272769686,1.0216048598806422e-10,1.0107447055912004e-5,0.28569512366713706,1541.6501321241549,0.024819476755510068,0.0,0.16646300061307479,136.92881851627598,1472.9106418900562,8643.446897110538,1159.7550569853731,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1472.8790246915146,1.45,0.07873685176091616
2225,5.757923148383059,3.097250850917539,2.82960404812578e-11,5.319402267290734e-6,0.20182552318950284,1349.885839983376,0.5482286604804815,0.0,0.9673704765518859,55.30157686041021,1287.7822343103587,5286.649391859849,298.3291143836115,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1284.2044861788006,1.45,0.07873685176091616
2230,5.81885419753215,27.571071527374063,7.718597708798858e-12,2.7782364386061272e-6,0.1426291130563375,1454.450164200172,0.7813804827251037,0.0,0.7193199755401269,28.848816053418915,1386.1122307675287,6641.902125603467,110.0322133715376,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1384.537427674625,1.45,0.07873685176091616
2235,5.865847737722263,59.04854204563129,2.0809383504747755e-12,1.442545787999388e-6,0.10040197660088901,1617.2980424435027,0.17489003348227566,0.0,0.43726852459519683,121.0682064874569,1540.0762855726061,9331.22940408445,826.8383429071084,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1539.6692703952733,1.45,0.07873685176091616
2240,5.913400982807588,44.00537391798751,5.544297738288168e-13,7.446004121868432e-7,0.06991288365566986,1489.5802953035566,0.7911245536471708,0.0,0.5261275533336273,28.198194959242265,1417.298884128204,6856.361702073129,93.33983609126032,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1416.7093466870517,1.45,0.07873685176091616
2245,5.955951056151384,43.300975428183314,1.4616951855524006e-13,3.823212243065248e-7,0.048818937553697775,1654.8414248045917,0.6870833795623573,0.0,0.5632708826057541,46.889757205874,1573.3810000707592,9652.580769185006,180.86502357325364,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1572.6381333639579,1.45,0.07873685176091616
2250,5.994386268310216,32.80523122101806,3.817208873713958e-14,1.953767865871982e-7,0.033892754748159205,1732.7228918325338,0.2932743440765438,0.0,0.6712620613545186,110.77562489567654,1646.324311088289,11102.420035897783,579.3161094034433,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1645.1330343210793,1.45,0.07873685176091616
2255,6.0258845869981466,39.52402983215003,9.891611811700154e-15,9.945658254585341e-8,0.023364746608131655,1636.7203524045922,0.2580953036230103,0.0,0.5638839380689011,109.81346819907057,1554.248804176893,8968.244564793127,516.4953680675602,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1553.6013386610266,1.45,0.07873685176091616
2260,6.054521699104836,71.98304670320492,2.545268027489754e-15,5.045064942584737e-8,0.01606307430841638,1548.4934570225041,0.5535222559296927,0.0,0.1269673317521655,62.514360104397525,1469.7241362487105,7300.544779118859,200.51510427092535,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1469.715302025402,1.45,0.07873685176091616
2265,6.092736236593099,76.36526648783354,6.488354907613858e-16,2.5472249424842436e-8,0.011054612300062763,1617.1517985705664,0.1003171554861583,0.0,0.07792957948964302,131.46182767504934,1533.8482333741401,8378.499334379347,508.0596068934758,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1533.8460277372092,1.45,0.07873685176091616
2270,6.139849987742384,14.736245170161807,1.6350865311861527e-16,1.2787050211781264e-8,0.007541736647016027,1451.9371472066782,0.9659956833405012,0.0,0.793992673868995,4.453175492840287,1375.9830190184878,5716.77542423936,3.1422159990178353,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1374.7481230498977,1.45,0.07873685176091616
2275,6.172356667603727,64.13875377464836,4.0880070449620614e-17,6.393752454515315e-9,0.005176563290938846,1711.6620595557333,0.10537944600694962,0.0,0.20952621933523086,138.15216728445216,1621.1704948963888,10015.702482992387,381.4663535919789,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1621.1377347774546,1.45,0.07873685176091616
2280,6.210753759856372,58.0990033180744,1.0125965166295678e-17,3.1821321729770557e-9,0.0035078604721271345,1530.6378907828305,0.9020360332317617,0.0,0.1679706159308061,13.518529495463293,1448.7067262397375,6768.3451411412225,10.591713786065094,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1448.6919238140006,1.45,0.07873685176091616
2285,6.251636052104195,39.99778055259459,2.4835167620741292e-18,1.5759177523189874e-9,0.0023904226155166066,1741.4405517379844,0.027426505783169724,0.0,0.47694903582054077,152.550593068232,1646.9944421392186,10530.501704052835,287.66166626580355,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1646.7007667092578,1.45,0.07873685176091616
2290,6.288258175521729,29.089631828868797,6.037584687098403e-19,7.770189629023479e-10,0.0016076495101107382,1511.4165198038463,0.47024538002082206,0.0,0.5447369024424649,72.06294714353142,1428.4824574564673,6443.972191732667,71.92042864141715,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1428.1353550605188,1.45,0.07873685176091616
2295,6.317838253638447,4.269734796944004,1.457372437971305e-19,3.8175547644680945e-10,0.001084749887093822,1558.3363187210905,0.3730925661894914,0.0,0.9326934932399926,87.80730763652583,1472.021324738898,7162.971403304249,63.06714398609239,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1470.506801510062,1.45,0.07873685176091616
2300,6.333335401227779,15.056618208029295,3.504794841459944e-20,1.872109730079929e-10,0.0007290786934550867,1545.3722156707668,0.44467146785913136,0.0,0.7514925018501829,77.1498616286215,1459.3548532044688,6972.838764809576,25.111086976877065,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1458.5845796615517,1.45,0.07873685176091616
2305,6.341631531591873,10.227218593922315,8.411835811464468e-21,9.171606081523817e-11,0.0004897059660394091,1568.1319866321116,0.9850384323369223,0.0,0.8273104553573347,2.1085615290885786,1480.6189671537381,7360.346292406389,-0.0,0.01053122614104478,3.87,0.5,0.5461538461538461,0.1,3.2,0.015,0.1,0.5750000000000001,1479.6581606316543,1.45,0.07873685176091616
